,predict_confirmed_case,confirmed_case
0,794846.5770405043,794862
1,800440.8736143765,800352
2,805735.8578854953,805728
3,810760.6149418228,811111
4,815541.1563202253,815474
5,820100.936605659,819837
6,824461.332979886,823987
7,828642.0877197199,828771
8,832661.7136448023,833284
9,836537.8625149095,836812
10,840287.6563767878,840431
11,843927.9818605215,843380
12,847475.7474254282,846841
13,850948.1035554872,850992
14,854362.6259042954,854789
15,857737.4613895549,858010
16,861091.4372370904,861203
17,864444.1329743965,864371
18,867815.9153737155,867405
19,871227.936344645,871051
20,874702.093776276,874687
21,878260.9553288609,878672
22,881927.6451750116,882045
23,885725.6936904277,886090
24,889678.8500941558,889729
25,893810.8580383769,893324
26,898145.1941477264,897735
27,902704.7695081424,902627
28,907511.5941052446,907526
29,912586.4042122443,912753
30,917948.2527273828,918272
31,923614.0624609019,923870
32,929598.1423715428,929507
33,935911.6667525764,935699
34,942562.1173673626,942279
35,949552.6885344415,949783
36,956881.6551621531,0
37,964541.7037327869,0
38,972519.2262362638,0
39,980793.577053346,0
40,989336.2927883778,0
41,998110.2750515573,0
42,1007068.9361907368,0
43,1016155.307972754,0
44,1025301.1132142938,0
45,1034425.8003622808,0
46,1043435.541023798,0
47,1052222.1904455428,0
48,1060662.2109428055,0
49,1068615.5582779837,0
